Date,Time,Bx (nT),By (nT),Bz (nT),Total (nT)
2026-05-26,00:00:01,407.8125,18447.65625,42142.96875,46005.5664807727
2026-05-26,00:00:03,403.125,18450.78125,42135.15625,45999.6220714137
2026-05-26,00:00:05,403.90625,18450.78125,42142.1875,46006.0695591277
2026-05-26,00:00:07,407.03125,18453.125,42140.625,46005.60587683556
2026-05-26,00:00:09,407.03125,18451.5625,42134.375,45999.25423059061
2026-05-26,00:00:11,407.8125,18450.78125,42139.0625,46003.24149610997
2026-05-26,00:00:13,408.59375,18450.78125,42142.96875,46006.82658748989
2026-05-26,00:00:15,407.03125,18450.78125,42137.5,46001.803327954745
2026-05-26,00:00:17,408.59375,18451.5625,42137.5,46002.13053537787
2026-05-26,00:00:19,408.59375,18452.34375,42138.28125,46003.159515676794
2026-05-26,00:00:21,408.59375,18450.78125,42137.5,46001.8171797364
2026-05-26,00:00:23,407.03125,18450.78125,42141.40625,46005.381466751984
2026-05-26,00:00:25,407.03125,18452.34375,42142.96875,46007.43939158228
2026-05-26,00:00:27,403.90625,18449.21875,42134.375,45998.286591836935
2026-05-26,00:00:29,407.8125,18452.34375,42137.5,46002.43696972281
2026-05-26,00:00:31,407.8125,18449.21875,42137.5,46001.18356923556
2026-05-26,00:00:33,407.8125,18449.21875,42130.46875,45994.742967161306
2026-05-26,00:00:35,406.25,18449.21875,42138.28125,46001.88537714463
2026-05-26,00:00:37,407.03125,18451.5625,42137.5,46002.116683690576
2026-05-26,00:00:39,407.8125,18451.5625,42130.46875,45995.68313245591
2026-05-26,00:00:42,407.8125,18449.21875,42139.84375,46003.33047503106
2026-05-26,00:00:44,407.03125,18453.125,42139.84375,46004.89026156367
2026-05-26,00:00:46,407.03125,18450.0,42136.71875,46000.77435712445
2026-05-26,00:00:48,407.03125,18451.5625,42141.40625,46005.69479811627
2026-05-26,00:00:50,406.25,18447.65625,42138.28125,46001.25875326419
2026-05-26,00:00:52,404.6875,18450.78125,42141.40625,46005.36079018995
2026-05-26,00:00:54,407.03125,18448.4375,42137.5,46000.863327549436
2026-05-26,00:00:56,407.8125,18453.125,42135.15625,46000.603534222195
2026-05-26,00:00:58,406.25,18448.4375,42138.28125,46001.57205963735
2026-05-26,00:01:00,407.03125,18449.21875,42132.8125,45996.88289530046
2026-05-26,00:01:02,407.8125,18448.4375,42128.90625,45992.998369837245
2026-05-26,00:01:04,407.8125,18450.0,42135.9375,46000.06565255165
2026-05-26,00:01:06,409.375,18450.0,42140.625,46004.373306037436
2026-05-26,00:01:08,407.03125,18450.78125,42133.59375,45998.2252425446
2026-05-26,00:01:10,408.59375,18450.78125,42138.28125,46002.532803009795
2026-05-26,00:01:12,408.59375,18450.78125,42136.71875,46001.101558598486
2026-05-26,00:01:14,405.46875,18445.3125,42135.9375,45998.16504094255
2026-05-26,00:01:16,407.8125,18447.65625,42138.28125,46001.27257867354
2026-05-26,00:01:18,407.8125,18449.21875,42136.71875,46000.46793824069
2026-05-26,00:01:20,409.375,18446.875,42127.34375,45990.95429089197
2026-05-26,00:01:22,408.59375,18447.65625,42139.0625,46001.99515618436
2026-05-26,00:01:24,407.03125,18448.4375,42133.59375,45997.28516901755
2026-05-26,00:01:27,407.8125,18451.5625,42134.375,45999.261150231396
2026-05-26,00:01:29,405.46875,18450.0,42132.8125,45997.182457922165
2026-05-26,00:01:31,408.59375,18450.78125,42139.0625,46003.248428418585
2026-05-26,00:01:33,407.03125,18452.34375,42132.8125,45998.13641297653
2026-05-26,00:01:35,410.15625,18450.78125,42134.375,45998.968613713405
2026-05-26,00:01:37,411.71875,18449.21875,42138.28125,46001.933997589214
