Date,Time,Bx (nT),By (nT),Bz (nT),Total (nT)
2026-05-25,00:00:01,1524.21875,17530.46875,41602.34375,45170.73812642143
2026-05-25,00:00:03,1521.09375,17529.6875,41596.875,45165.29286752794
2026-05-25,00:00:05,1521.09375,17529.6875,41594.53125,45163.13430167543
2026-05-25,00:00:07,1521.09375,17526.5625,41598.4375,45165.519167879625
2026-05-25,00:00:09,1524.21875,17524.21875,41595.3125,45161.83684891879
2026-05-25,00:00:11,1520.3125,17523.4375,41590.625,45157.08471330592
2026-05-25,00:00:13,1519.53125,17527.34375,41595.3125,45162.891582836535
2026-05-25,00:00:15,1520.3125,17528.125,41599.21875,45166.81875806212
2026-05-25,00:00:17,1520.3125,17525.78125,41594.53125,45161.5919607329
2026-05-25,00:00:19,1521.875,17526.5625,41601.5625,45168.42369425169
2026-05-25,00:00:22,1521.875,17525.78125,41603.125,45169.559680210536
2026-05-25,00:00:24,1523.4375,17526.5625,41595.3125,45162.719989560734
2026-05-25,00:00:26,1522.65625,17525.78125,41600.00000000001,45166.707766656145
2026-05-25,00:00:28,1521.09375,17522.65625,41603.125,45168.32095636917
2026-05-25,00:00:30,1520.3125,17525.78125,41599.21875,45165.909258320695
2026-05-25,00:00:32,1521.875,17523.4375,41604.6875,45170.08952066276
2026-05-25,00:00:34,1521.875,17525.0,41600.00000000001,45166.378297530406
2026-05-25,00:00:36,1521.09375,17525.78125,41592.96875,45160.17918540201
2026-05-25,00:00:38,1521.875,17528.125,41599.21875,45166.871378717406
2026-05-25,00:00:40,1522.65625,17531.25,41600.00000000001,45168.830055893246
2026-05-25,00:00:42,1522.65625,17527.34375,41599.21875,45166.59453176296
2026-05-25,00:00:44,1522.65625,17528.125,41602.34375,45169.775885700976
2026-05-25,00:00:46,1522.65625,17527.34375,41605.46875,45172.35095601683
2026-05-25,00:00:48,1521.09375,17527.34375,41594.53125,45162.22464664667
2026-05-25,00:00:50,1521.875,17525.0,41603.125,45169.25656108643
2026-05-25,00:00:52,1521.875,17527.34375,41601.5625,45168.726845990415
2026-05-25,00:00:54,1521.875,17527.34375,41595.3125,45162.970500388314
2026-05-25,00:00:56,1521.09375,17528.90625,41600.78125,45168.58732712293
2026-05-25,00:00:58,1522.65625,17525.78125,41600.00000000001,45166.707766656145
2026-05-25,00:01:00,1522.65625,17525.78125,41596.875,45163.82955689365
2026-05-25,00:01:02,1522.65625,17526.5625,41600.00000000001,45167.010916398605
2026-05-25,00:01:04,1521.875,17526.5625,41601.5625,45168.42369425169
2026-05-25,00:01:06,1522.65625,17530.46875,41593.75,45162.77068242039
2026-05-25,00:01:08,1521.875,17526.5625,41597.65625,45164.825938723545
2026-05-25,00:01:10,1521.875,17525.78125,41596.875,45163.80322453039
2026-05-25,00:01:12,1521.09375,17527.34375,41595.3125,45162.94418103861
2026-05-25,00:01:14,1522.65625,17527.34375,41603.90625,45170.91183765408
2026-05-25,00:01:16,1521.875,17527.34375,41598.4375,45165.84865678597
2026-05-25,00:01:18,1521.875,17527.34375,41594.53125,45162.2509664157
2026-05-25,00:01:21,1525.0,17527.34375,41600.78125,45168.112696248616
2026-05-25,00:01:23,1522.65625,17528.90625,41600.00000000001,45167.920434495914
2026-05-25,00:01:25,1522.65625,17526.5625,41592.96875,45160.535034037704
2026-05-25,00:01:27,1521.875,17525.78125,41600.00000000001,45166.68143597089
2026-05-25,00:01:29,1521.09375,17525.78125,41599.21875,45165.93556242904
2026-05-25,00:01:31,1523.4375,17526.5625,41596.09375,45163.43952957526
2026-05-25,00:01:33,1524.21875,17525.0,41602.34375,45168.616021425936
2026-05-25,00:01:35,1525.0,17526.5625,41603.125,45169.96820711778
2026-05-25,00:01:37,1525.78125,17532.8125,41599.21875,45168.82246852755
2026-05-25,00:01:39,1522.65625,17531.25,41602.34375,45170.98863331782
2026-05-25,00:01:41,1520.3125,17525.78125,41601.5625,45168.067934791216
2026-05-25,00:01:43,1521.09375,17526.5625,41596.09375,45163.36053175721
2026-05-25,00:01:45,1521.875,17525.78125,41603.125,45169.559680210536
2026-05-25,00:01:47,1521.09375,17523.4375,41604.6875,45170.06320546111
2026-05-25,00:01:49,1521.09375,17525.0,41596.09375,45162.75419474634
2026-05-25,00:01:51,1521.875,17525.78125,41603.90625,45170.27924639459
2026-05-25,00:01:53,1523.4375,17525.0,41598.4375,45164.991854951244
2026-05-25,00:01:55,1522.65625,17528.125,41596.09375,45164.01956569054
2026-05-25,00:01:57,1521.875,17526.5625,41600.78125,45167.70413904588
