Date,Time,Bx (nT),By (nT),Bz (nT),Total (nT)
2026-05-31,00:00:00,4759.375,20218.75,40225.78125,45272.09934524769
2026-05-31,00:00:02,4758.59375,20214.84375,40237.5,45280.686043438574
2026-05-31,00:00:04,4757.8125,20217.96875,40235.15625,45279.916504152774
2026-05-31,00:00:06,4757.03125,20216.40625,40230.46875,45274.971494449805
2026-05-31,00:00:08,4757.8125,20216.40625,40232.03125,45276.44199748001
2026-05-31,00:00:10,4758.59375,20217.96875,40232.8125,45277.9159912829
2026-05-31,00:00:12,4757.03125,20218.75,40223.4375,45269.770511814866
2026-05-31,00:00:14,4756.25,20217.96875,40231.25,45276.281329201236
2026-05-31,00:00:16,4757.03125,20217.96875,40232.8125,45277.7518031716
2026-05-31,00:00:18,4757.8125,20219.53125,40225.78125,45272.28402596598
2026-05-31,00:00:20,4757.8125,20216.40625,40236.71875,45280.60729734968
2026-05-31,00:00:22,4757.8125,20216.40625,40231.25,45275.747790762056
2026-05-31,00:00:24,4757.8125,20217.96875,40231.25,45276.445495683874
2026-05-31,00:00:26,4757.8125,20217.96875,40235.9375,45280.61071435586
2026-05-31,00:00:28,4758.59375,20217.96875,40236.71875,45281.387021822964
2026-05-31,00:00:30,4757.8125,20217.1875,40228.90625,45274.014050739985
2026-05-31,00:00:32,4758.59375,20216.40625,40232.03125,45276.524100725255
2026-05-31,00:00:34,4757.03125,20217.1875,40235.15625,45279.48558879117
2026-05-31,00:00:36,4757.03125,20217.96875,40230.46875,45275.66921133447
2026-05-31,00:00:38,4757.03125,20217.96875,40234.375,45279.140211913014
2026-05-31,00:00:40,4757.03125,20216.40625,40238.28125,45281.91367348135
2026-05-31,00:00:42,4757.03125,20217.96875,40232.03125,45277.057603055764
2026-05-31,00:00:44,4757.03125,20217.1875,40237.5,45281.568247727824
2026-05-31,00:00:46,4757.03125,20215.625,40236.71875,45280.17641552099
2026-05-31,00:00:48,4757.03125,20217.96875,40228.90625,45274.280830961216
2026-05-31,00:00:50,4756.25,20217.96875,40235.15625,45279.75235025464
2026-05-31,00:00:52,4757.03125,20216.40625,40236.71875,45280.52521498748
2026-05-31,00:00:54,4756.25,20216.40625,40231.25,45275.58362174958
2026-05-31,00:00:56,4757.03125,20217.96875,40233.59375,45278.44600612406
2026-05-31,00:00:58,4757.8125,20214.84375,40238.28125,45281.29818784099
2026-05-31,00:01:00,4756.25,20217.1875,40230.46875,45275.23826902938
2026-05-31,00:01:02,4757.8125,20214.84375,40239.0625,45281.99243077734
2026-05-31,00:01:04,4756.25,20217.1875,40235.9375,45280.097735943134
2026-05-31,00:01:06,4755.46875,20216.40625,40232.8125,45276.88998106453
2026-05-31,00:01:08,4756.25,20217.1875,40238.28125,45282.18040716191
2026-05-31,00:01:10,4756.25,20217.1875,40237.5,45281.48618058661
2026-05-31,00:01:12,4755.46875,20216.40625,40235.9375,45279.66686274505
2026-05-31,00:01:14,4756.25,20217.96875,40237.5,45281.83499692207
2026-05-31,00:01:16,4756.25,20215.625,40235.15625,45278.70588549367
2026-05-31,00:01:18,4755.46875,20216.40625,40235.15625,45278.97263807097
2026-05-31,00:01:20,4755.46875,20214.84375,40236.71875,45279.663499586015
2026-05-31,00:01:22,4755.46875,20217.1875,40235.15625,45279.3214602902
2026-05-31,00:01:24,4755.46875,20219.53125,40232.8125,45278.28539887646
2026-05-31,00:01:26,4755.46875,20216.40625,40235.15625,45278.97263807097
2026-05-31,00:01:28,4756.25,20217.1875,40237.5,45281.48618058661
2026-05-31,00:01:30,4757.03125,20216.40625,40230.46875,45274.971494449805
2026-05-31,00:01:32,4756.25,20216.40625,40236.71875,45280.443145955855
2026-05-31,00:01:34,4756.25,20217.1875,40235.15625,45279.40351787522
2026-05-31,00:01:36,4756.25,20217.96875,40227.34375,45272.81037906903
2026-05-31,00:01:38,4755.46875,20218.75,40235.15625,45280.019137105504
2026-05-31,00:01:40,4756.25,20217.1875,40235.15625,45279.40351787522
2026-05-31,00:01:42,4755.46875,20215.625,40232.03125,45275.846934914734
2026-05-31,00:01:44,4756.25,20217.1875,40235.9375,45280.097735943134
2026-05-31,00:01:46,4755.46875,20215.625,40233.59375,45277.23537510755
2026-05-31,00:01:48,4755.46875,20218.75,40227.34375,45273.077206827795
2026-05-31,00:01:50,4755.46875,20217.96875,40232.8125,45277.58766838577
2026-05-31,00:01:52,4755.46875,20217.96875,40236.71875,45281.058724093506
2026-05-31,00:01:54,4755.46875,20218.75,40232.03125,45277.24233095146
2026-05-31,00:01:56,4757.03125,20215.625,40237.5,45280.8706486978
2026-05-31,00:01:58,4754.6875,20216.40625,40238.28125,45281.667513926615
2026-05-31,00:02:00,4755.46875,20215.625,40230.46875,45274.45850606695
2026-05-31,00:02:02,4756.25,20216.40625,40236.71875,45280.443145955855
2026-05-31,00:02:04,4755.46875,20217.1875,40235.9375,45280.015679616205
2026-05-31,00:02:06,4755.46875,20215.625,40228.90625,45273.07008856524
2026-05-31,00:02:08,4755.46875,20215.625,40235.9375,45279.31805666642
2026-05-31,00:02:10,4754.6875,20214.84375,40233.59375,45276.80451511137
2026-05-31,00:02:12,4755.46875,20216.40625,40230.46875,45274.80734958452
2026-05-31,00:02:14,4756.25,20215.625,40236.71875,45280.09434585717
2026-05-31,00:02:16,4756.25,20217.1875,40232.03125,45276.62667396537
2026-05-31,00:02:18,4755.46875,20214.84375,40227.34375,45271.33282828997
2026-05-31,00:02:20,4756.25,20217.96875,40232.8125,45277.66972911297
2026-05-31,00:02:22,4756.25,20215.625,40239.0625,45282.17705766841
2026-05-31,00:02:24,4756.25,20215.625,40228.90625,45273.152157480865
2026-05-31,00:02:26,4753.90625,20216.40625,40237.5,45280.89125170604
2026-05-31,00:02:28,4756.25,20215.625,40235.9375,45279.4001142576
2026-05-31,00:02:30,4753.90625,20216.40625,40228.125,45272.56064454995
2026-05-31,00:02:32,4755.46875,20217.1875,40232.03125,45276.54461134771
2026-05-31,00:02:34,4755.46875,20217.96875,40233.59375,45278.281873854736
2026-05-31,00:02:36,4754.6875,20215.625,40227.34375,45271.599624311326
2026-05-31,00:02:38,4754.6875,20217.1875,40235.15625,45279.2394160362
2026-05-31,00:02:40,4755.46875,20216.40625,40237.5,45281.05532060031
2026-05-31,00:02:42,4756.25,20215.625,40228.90625,45273.152157480865
2026-05-31,00:02:44,4756.25,20216.40625,40232.8125,45276.97204305623
2026-05-31,00:02:46,4754.6875,20215.625,40235.15625,45278.541781126245
2026-05-31,00:02:48,4754.6875,20216.40625,40225.0,45269.865914178445
2026-05-31,00:02:50,4754.6875,20216.40625,40232.8125,45276.80793240455
2026-05-31,00:02:52,4754.6875,20217.1875,40233.59375,45277.850983376535
2026-05-31,00:02:54,4755.46875,20217.96875,40230.46875,45275.50506899873
2026-05-31,00:02:56,4755.46875,20218.75,40235.15625,45280.019137105504
2026-05-31,00:02:58,4756.25,20219.53125,40232.8125,45278.36745833912
2026-05-31,00:03:00,4756.25,20219.53125,40228.125,45274.2023568373
2026-05-31,00:03:02,4755.46875,20219.53125,40229.6875,45275.50864815998
2026-05-31,00:03:04,4756.25,20216.40625,40228.90625,45273.50101106417
2026-05-31,00:03:06,4755.46875,20217.1875,40230.46875,45275.156203895196
2026-05-31,00:03:08,4755.46875,20218.75,40239.0625,45283.49020861392
2026-05-31,00:03:10,4755.46875,20215.625,40239.0625,45282.09500510945
2026-05-31,00:03:12,4754.6875,20214.0625,40229.6875,45272.984574956165
2026-05-31,00:03:14,4753.90625,20217.1875,40235.9375,45279.85160695485
2026-05-31,00:03:16,4755.46875,20215.625,40238.28125,45281.40076374574
2026-05-31,00:03:18,4754.6875,20214.84375,40232.8125,45276.11028699049
2026-05-31,00:03:20,4754.6875,20214.0625,40236.71875,45279.23267617467
2026-05-31,00:03:22,4754.6875,20213.28125,40233.59375,45276.10692356728
2026-05-31,00:03:24,4753.90625,20214.0625,40227.34375,45270.81987956877
2026-05-31,00:03:26,4754.6875,20213.28125,40232.8125,45275.41268474992
2026-05-31,00:03:28,4755.46875,20214.0625,40229.6875,45273.06663054524
2026-05-31,00:03:30,4754.6875,20217.1875,40226.5625,45271.60317681735
2026-05-31,00:03:32,4755.46875,20216.40625,40232.8125,45276.88998106453
2026-05-31,00:03:34,4754.6875,20216.40625,40234.375,45278.19637008877
2026-05-31,00:03:36,4754.6875,20216.40625,40231.25,45275.41950606527
2026-05-31,00:03:38,4754.6875,20217.1875,40231.25,45275.76835565922
2026-05-31,00:03:40,4754.6875,20217.1875,40233.59375,45277.850983376535
2026-05-31,00:03:42,4753.90625,20217.1875,40230.46875,45274.99211362352
2026-05-31,00:03:44,4755.46875,20217.1875,40232.8125,45277.23881932885
2026-05-31,00:03:46,4753.90625,20217.96875,40230.46875,45275.34097999144
2026-05-31,00:03:48,4753.90625,20218.75,40226.5625,45272.21892908161
2026-05-31,00:03:50,4753.90625,20217.96875,40229.6875,45274.646783353506
2026-05-31,00:03:52,4754.6875,20217.96875,40227.34375,45272.64625333157
2026-05-31,00:03:54,4753.90625,20220.3125,40225.78125,45272.22260287534
2026-05-31,00:03:56,4754.6875,20217.1875,40232.8125,45277.15677130101
2026-05-31,00:03:58,4754.6875,20216.40625,40232.8125,45276.80793240455
2026-05-31,00:04:00,4753.90625,20215.625,40228.90625,45272.905990732506
2026-05-31,00:04:02,4754.6875,20214.84375,40235.15625,45278.192979860454
2026-05-31,00:04:04,4754.6875,20217.1875,40232.8125,45277.15677130101
2026-05-31,00:04:06,4753.90625,20217.96875,40224.21875,45269.787486331516
2026-05-31,00:04:08,4754.6875,20217.1875,40230.46875,45275.07415209321
2026-05-31,00:04:10,4754.6875,20216.40625,40234.375,45278.19637008877
