Date,Time,Bx (nT),By (nT),Bz (nT),Total (nT)
2026-05-22,00:00:01,1502.34375,17491.40625,41578.125,45132.54710141372
2026-05-22,00:00:03,1501.5625,17493.75,41571.875,45127.67188787309
2026-05-22,00:00:05,1501.5625,17492.1875,41566.40625,45122.02834554982
2026-05-22,00:00:07,1500.78125,17489.84375,41571.875,45126.131783872086
2026-05-22,00:00:09,1501.5625,17488.28125,41575.78125,45129.15086247867
2026-05-22,00:00:11,1502.34375,17488.28125,41567.1875,45121.25989467074
2026-05-22,00:00:13,1503.90625,17489.0625,41574.21875,45128.09220220313
2026-05-22,00:00:15,1502.34375,17488.28125,41576.5625,45129.89660013273
2026-05-22,00:00:17,1501.5625,17489.0625,41567.1875,45121.536695135605
2026-05-22,00:00:19,1502.34375,17492.96875,41570.3125,45125.95565502516
2026-05-22,00:00:21,1503.125,17492.96875,41569.53125,45125.261980389965
2026-05-22,00:00:23,1505.46875,17490.625,41560.15625,45115.79531131271
2026-05-22,00:00:25,1500.78125,17487.5,41569.53125,45123.06426823291
2026-05-22,00:00:27,1500.78125,17491.40625,41566.40625,45121.69949705939
2026-05-22,00:00:29,1499.21875,17492.1875,41557.8125,45114.03396040598
2026-05-22,00:00:31,1500.0,17493.75,41570.3125,45126.180543118826
2026-05-22,00:00:33,1500.0,17491.40625,41567.1875,45122.3932129347
2026-05-22,00:00:35,1500.0,17490.625,41564.0625,45119.211588795864
2026-05-22,00:00:37,1501.5625,17490.625,41572.65625,45127.18028541884
2026-05-22,00:00:39,1501.5625,17488.28125,41575.0,45128.43112740025
2026-05-22,00:00:41,1500.0,17487.5,41571.875,45125.197476195324
2026-05-22,00:00:42,1502.34375,17488.28125,41575.0,45128.45712875929
2026-05-22,00:00:44,1502.34375,17485.9375,41576.5625,45128.98842555056
2026-05-22,00:00:46,1502.34375,17490.625,41571.09375,45125.76686556228
2026-05-22,00:00:48,1500.78125,17489.84375,41571.875,45126.131783872086
2026-05-22,00:00:50,1502.34375,17491.40625,41574.21875,45128.94851443533
2026-05-22,00:00:52,1502.34375,17491.40625,41572.65625,45127.50909397024
