Date,Time,Bx (nT),By (nT),Bz (nT),Total (nT)
2026-05-29,01:28:19,2638.28125,18818.75,41182.03125,45354.88482393686
2026-05-29,01:28:20,2639.0625,18815.625,41181.25,45352.9243443246
2026-05-29,01:28:22,2642.1875,18821.875,41181.25,45355.69958520408
2026-05-29,01:28:24,2641.40625,18820.3125,41185.15625,45358.552500185775
2026-05-29,01:28:26,2646.09375,18817.96875,41180.46875,45353.597062190034
2026-05-29,01:28:28,2642.1875,18817.96875,41181.25,45354.07869446399
2026-05-29,01:28:30,2644.53125,18818.75,41178.125,45351.70201448179
2026-05-29,01:28:32,2644.53125,18825.78125,41176.5625,45353.201480396994
2026-05-29,01:28:34,2644.53125,18825.78125,41169.53125,45346.81784370106
2026-05-29,01:28:36,2642.96875,18831.25,41171.09375,45350.41588505298
2026-05-29,01:28:38,2708.59375,18866.40625,41107.03125,45310.76895265688
2026-05-29,01:28:40,2678.125,18914.0625,40985.15625,45218.327552071685
2026-05-29,01:28:42,3173.4375,18382.8125,40675.78125,44749.499229314446
2026-05-29,01:28:44,3221.8749999999995,18411.71875,40700.78125,44787.559212409404
2026-05-29,01:28:46,3223.4375000000005,18421.875,40700.0,44791.13782694107
2026-05-29,01:28:48,3223.4375000000005,18418.75,40700.0,44789.85265524889
2026-05-29,01:28:50,3222.65625,18421.09375,40697.65625,44788.63061643119
2026-05-29,01:28:52,3221.09375,18431.25,40692.96875,44788.43742750204
2026-05-29,01:28:54,3222.65625,18430.46875,40696.875,44791.777442026294
2026-05-29,01:28:56,3221.8749999999995,18429.6875,40695.3125,44789.980122075714
2026-05-29,01:28:58,3228.90625,18439.0625,40694.53125,44793.634984308
2026-05-29,01:29:00,3249.21875,18449.21875,40694.53125,44799.28535845108
2026-05-29,01:29:02,3261.71875,18457.03125,40696.09375,44804.830747101
2026-05-29,01:29:03,3264.84375,18460.15625,40688.28125,44799.2500446763
2026-05-29,01:29:05,3270.3125,18465.625,40696.09375,44808.9979468083
2026-05-29,01:29:07,3275.0,18467.96875,40689.84375,44804.63010839829
2026-05-29,01:29:09,3282.8125,18470.3125,40692.1875,44808.29638909483
2026-05-29,01:29:11,3285.15625,18475.78125,40689.84375,44808.594362958764
2026-05-29,01:29:13,3289.0625,18477.34375,40692.1875,44811.6534812065
2026-05-29,01:29:15,3294.5312500000005,18482.03125,40686.71875,44809.02250579457
2026-05-29,01:29:17,3301.5625,18485.9375,40687.5,44811.86066707465
2026-05-29,01:29:19,3304.6875000000005,18485.9375,40685.9375,44810.672333501854
2026-05-29,01:29:21,3307.0312499999995,18489.0625,40684.375,44810.71587196535
2026-05-29,01:29:23,3310.15625,18494.53125,40685.15625,44813.91256790188
2026-05-29,01:29:25,3314.8437500000005,18495.3125,40689.0625,44818.12781329087
2026-05-29,01:29:27,3317.1875000000005,18500.78125,40685.15625,44817.01215897175
2026-05-29,01:29:29,3322.65625,18500.78125,40690.625,44822.3818455316
2026-05-29,01:29:31,3327.3437500000005,18510.9375,40689.0625,44825.50424354953
2026-05-29,01:29:33,3331.25,18517.1875,40683.59375,44823.41196169358
2026-05-29,01:29:35,3335.15625,18517.96875,40685.9375,44826.152456928496
2026-05-29,01:29:37,3338.2812499999995,18522.65625,40685.9375,44828.32170083631
2026-05-29,01:29:39,3342.96875,18526.5625,40678.125,44823.19501826602
2026-05-29,01:29:41,3343.75,18535.15625,40683.59375,44831.76866563992
2026-05-29,01:29:43,3350.7812499999995,18534.375,40680.46875,44829.13482709323
2026-05-29,01:29:45,3356.25,18539.84375,40677.34375,44828.96959436585
2026-05-29,01:29:47,3360.9375000000005,18544.53125,40687.5,44840.47497976725
2026-05-29,01:29:49,3364.0625,18544.53125,40685.15625,44838.58265905655
2026-05-29,01:29:51,3364.8437500000005,18546.09375,40679.6875,44834.325487770635
2026-05-29,01:29:53,3366.40625,18548.4375,40682.8125,44838.24770931176
2026-05-29,01:29:55,3372.65625,18553.125,40682.8125,44840.65666731973
2026-05-29,01:29:57,3376.5625,18559.375,40675.78125,44837.158195015916
2026-05-29,01:29:59,3387.5000000000005,18564.84375,40678.90625,44843.08189016677
2026-05-29,01:30:01,3389.8437500000005,18564.0625,40682.03125,44845.770411258374
2026-05-29,01:30:03,3398.4375000000005,18571.875,40673.4375,44841.860315150145
2026-05-29,01:30:05,3406.2500000000005,18575.0,40682.03125,44851.542121631406
2026-05-29,01:30:07,3407.03125,18580.46875,40679.6875,44851.740835845594
2026-05-29,01:30:09,3411.71875,18583.59375,40672.65625,44847.014927693956
2026-05-29,01:30:11,3415.625,18584.375,40678.90625,44853.304248154775
2026-05-29,01:30:13,3418.7500000000005,18586.71875,40681.25,44856.639051723454
