Date,Time,Bx (nT),By (nT),Bz (nT),Total (nT)
2026-06-02,00:00:01,4827.34375,20271.09375,40220.3125,45297.836892059306
2026-06-02,00:00:03,4827.34375,20275.0,40214.84375,45294.72961082314
2026-06-02,00:00:05,4828.90625,20273.4375,40218.75,45297.66500825617
2026-06-02,00:00:07,4828.90625,20275.0,40215.625,45295.5897931787
2026-06-02,00:00:09,4828.125,20275.78125,40211.71875,45292.38811480995
2026-06-02,00:00:11,4829.6875,20271.875,40218.75,45297.04900902245
2026-06-02,00:00:13,4828.125,20275.78125,40214.0625,45294.46896771595
2026-06-02,00:00:15,4828.125,20271.875,40210.9375,45289.94592246889
2026-06-02,00:00:17,4827.34375,20274.21875,40216.40625,45295.76718931422
2026-06-02,00:00:19,4827.34375,20271.09375,40219.53125,45297.143215347256
2026-06-02,00:00:21,4827.34375,20275.0,40211.71875,45291.95510805165
2026-06-02,00:00:23,4828.125,20272.65625,40222.65625,45300.700416792155
2026-06-02,00:00:25,4827.34375,20272.65625,40218.75,45297.14881395768
2026-06-02,00:00:27,4827.34375,20272.65625,40216.40625,45295.067841613476
2026-06-02,00:00:30,4827.34375,20272.65625,40221.09375,45299.2298119694
2026-06-02,00:00:32,4828.125,20271.875,40221.875,45299.65712394383
2026-06-02,00:00:34,4827.34375,20275.0,40218.75,45298.1978034796
2026-06-02,00:00:36,4828.90625,20271.875,40221.09375,45299.04672322811
2026-06-02,00:00:38,4828.90625,20270.3125,40221.09375,45298.347507003324
2026-06-02,00:00:40,4828.90625,20271.875,40214.84375,45293.49742980584
2026-06-02,00:00:42,4828.125,20273.4375,40220.3125,45298.969046543294
2026-06-02,00:00:44,4828.125,20273.4375,40222.65625,45301.05004177823
2026-06-02,00:00:46,4828.90625,20273.4375,40219.53125,45298.35866350371
2026-06-02,00:00:48,4828.90625,20271.875,40217.1875,45295.57839344885
2026-06-02,00:00:50,4828.125,20273.4375,40220.3125,45298.969046543294
2026-06-02,00:00:52,4828.125,20274.21875,40217.1875,45296.54409939717
2026-06-02,00:00:54,4828.90625,20273.4375,40221.875,45300.43964635796
2026-06-02,00:00:56,4828.90625,20274.21875,40225.0,45303.563949143565
2026-06-02,00:00:58,4827.34375,20275.78125,40217.1875,45297.16021329231
2026-06-02,00:01:00,4828.90625,20273.4375,40225.78125,45303.90800814591
2026-06-02,00:01:02,4827.34375,20277.34375,40217.96875,45298.55326180191
2026-06-02,00:01:04,4828.90625,20274.21875,40219.53125,45298.70832003786
2026-06-02,00:01:06,4828.125,20271.875,40228.125,45305.206632868096
2026-06-02,00:01:08,4828.125,20274.21875,40221.875,45300.70601496296
2026-06-02,00:01:10,4826.5625,20275.0,40218.75,45298.1145537969
2026-06-02,00:01:12,4827.34375,20275.78125,40221.875,45301.32207225459
2026-06-02,00:01:14,4826.5625,20275.0,40220.3125,45299.50185337652
2026-06-02,00:01:17,4825.78125,20275.0,40218.75,45298.03131743533
2026-06-02,00:01:19,4828.125,20275.0,40218.75,45298.28106648336
2026-06-02,00:01:21,4827.34375,20272.65625,40223.4375,45301.31083564508
2026-06-02,00:01:23,4828.125,20275.78125,40220.3125,45300.018034335626
2026-06-02,00:01:25,4828.125,20275.0,40224.21875,45303.13664707419
2026-06-02,00:01:27,4827.34375,20271.09375,40225.78125,45302.69270887553
2026-06-02,00:01:29,4827.34375,20274.21875,40220.3125,45299.23543726949
2026-06-02,00:01:31,4826.5625,20275.78125,40223.4375,45302.62614000058
2026-06-02,00:01:33,4826.5625,20274.21875,40225.78125,45304.0078653325
2026-06-02,00:01:35,4828.125,20276.5625,40225.0,45304.52960612251
2026-06-02,00:01:37,4826.5625,20273.4375,40224.21875,45302.27088878287
2026-06-02,00:01:39,4827.34375,20276.5625,40228.125,45307.22100849594
2026-06-02,00:01:41,4827.34375,20277.34375,40220.3125,45300.63415487673
2026-06-02,00:01:43,4828.125,20277.34375,40229.6875,45309.041227098875
2026-06-02,00:01:45,4827.34375,20275.0,40229.6875,45307.90912223075
2026-06-02,00:01:47,4827.34375,20276.5625,40226.5625,45305.83367584661
2026-06-02,00:01:49,4827.34375,20273.4375,40235.15625,45312.065878847156
2026-06-02,00:01:51,4828.125,20275.78125,40233.59375,45311.8104069294
2026-06-02,00:01:53,4828.125,20272.65625,40225.78125,45303.47513843878
2026-06-02,00:01:55,4827.34375,20274.21875,40230.46875,45308.253215592435
2026-06-02,00:01:57,4827.34375,20276.5625,40233.59375,45312.07676257081
2026-06-02,00:01:59,4828.125,20277.34375,40230.46875,45309.73489677484
2026-06-02,00:02:02,4828.125,20274.21875,40232.03125,45309.72385084082
2026-06-02,00:02:04,4828.125,20275.0,40233.59375,45311.460824560316
2026-06-02,00:02:06,4827.34375,20277.34375,40221.09375,45301.32779160692
2026-06-02,00:02:08,4827.34375,20275.0,40233.59375,45311.37758577533
2026-06-02,00:02:10,4827.34375,20275.0,40235.15625,45312.76499114326
2026-06-02,00:02:12,4829.6875,20275.0,40234.375,45312.32103951729
2026-06-02,00:02:14,4828.125,20275.78125,40236.71875,45314.58520256009
2026-06-02,00:02:16,4828.125,20273.4375,40233.59375,45310.76169214186
2026-06-02,00:02:18,4828.125,20277.34375,40227.34375,45306.960235177474
2026-06-02,00:02:20,4828.90625,20275.78125,40234.375,45312.5873517477
2026-06-02,00:02:22,4828.125,20273.4375,40233.59375,45310.76169214186
2026-06-02,00:02:24,4828.90625,20274.21875,40232.03125,45309.80710613451
